Player,Pos,School,College,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
Johnathan Abram\AbraJo01,S,Mississippi St.,College Stats,5-11,205,4.45,,,116,,,/ 1st / 27th pick / 2019
Paul Adams\AdamPa00,OT,Missouri,College Stats,6-6,317,5.18,27.0,16,103,7.68,4.74,
Nasir Adderley,S,Delaware,,6-0,206,,,,,,,
Azeez Al-Shaair\Al-SAz00,LB,Florida Atlantic,College Stats,6-1,234,,,16,,,,
Otaro Alaka\AlakOt00,LB,Texas A&M,College Stats,6-3,239,4.82,36.0,20,131,,,
Dakota Allen\AlleDa01,LB,Texas Tech,College Stats,6-1,232,4.77,31.5,23,116,6.88,4.04,/ 7th / 251st pick / 2019
Josh Allen\AlleJo03,EDGE,Kentucky,College Stats,6-5,262,4.63,,28,118,7.15,4.23,/ 1st / 7th pick / 2019
Zach Allen\AlleZa01,DL,Boston Col.,College Stats,6-4,281,5.00,32.0,24,112,7.34,4.36,/ 3rd / 65th pick / 2019
Bryson Allen-Williams\AlleBr03,LB,South Carolina,College Stats,6-1,236,4.88,,14,,7.40,,
Jeff Allison\AlliJe00,LB,Fresno St.,College Stats,5-11,228,4.82,31.0,12,115,7.20,4.45,
Ugo Amadi,S,Oregon,College Stats,5-9,199,4.51,32.5,18,115,7.21,4.19,
Rodney Anderson\AndeRo02,RB,Oklahoma,College Stats,6-0,224,,,25,,,,/ 6th / 211th pick / 2019
J.J. Arcega-Whiteside\ArceJJ00,WR,Stanford,College Stats,6-2,225,,,,,,,/ 2nd / 57th pick / 2019
Ryquell Armstead\ArmsRy00,RB,Temple,College Stats,5-11,220,4.45,30.0,22,114,7.02,4.29,/ 5th / 140th pick / 2019
Blessuan Austin\AustBl00,CB,Rutgers,College Stats,6-1,198,,,15,,,,/ 6th / 196th pick / 2019
Jake Bailey\BailJa00,P,Stanford,College Stats,6-1,200,4.72,33.0,,117,,,/ 5th / 163rd pick / 2019
Zack Bailey\BailZa00,OL,South Carolina,College Stats,6-5,299,,28.0,24,103,,,
Derrick Baity\BaitDe00,CB,Kentucky,College Stats,6-2,197,,38.5,10,127,7.06,4.31,
Deandre Baker\BakeDe00,CB,Georgia,College Stats,5-11,193,4.52,,14,118,,,/ 1st / 30th pick / 2019
